"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.435104292E0,-8.074209595E-1,-4.725972290E0,8.643924866E0
2.445130292E0,-1.437161407E0,-5.083878021E0,8.441545715E0
2.455156292E0,-1.731299744E0,-5.071304169E0,8.436456299E0
2.465182292E0,-1.467099152E0,-4.211791534E0,8.747359772E0
2.475207292E0,-6.255491638E-1,-3.788172455E0,8.501720581E0
2.485233292E0,3.688330078E-1,-4.954097900E0,7.335795135E0
2.495259042E0,-2.055226135E-1,-4.883744202E0,8.044571228E0
2.505284042E0,-1.484013977E0,-5.130281525E0,8.969797211E0
2.515310042E0,-2.023791504E0,-4.849315796E0,9.024433594E0
2.525336042E0,-1.419049072E0,-4.275708618E0,8.912017365E0
2.535362042E0,-9.062155151E-1,-4.314777374E0,9.291328583E0
2.545387042E0,-6.749464417E-1,-4.836592255E0,9.411678314E0
2.555413042E0,-5.433700562E-2,-5.662125549E0,9.006021881E0
2.565439042E0,-2.493814087E-1,-5.371729431E0,8.926088104E0
2.575464042E0,-9.050180054E-1,-4.507127380E0,8.891809387E0
2.585490042E0,-4.541555786E-1,-4.359234924E0,9.220974884E0
2.595516042E0,4.785548401E-1,-4.611759796E0,9.373058624E0
2.605541042E0,9.538165283E-1,-5.099595337E0,9.421707458E0
2.615567042E0,1.278491364E0,-5.434149628E0,9.249266052E0
2.625593042E0,1.358425140E0,-4.926555176E0,9.217681732E0
2.635619042E0,3.153941345E-1,-4.147425385E0,9.050629120E0
2.645644042E0,-1.003962250E0,-3.396287384E0,8.971743164E0
2.655670042E0,-9.663903809E-1,-3.643423462E0,8.880732422E0
2.665696042E0,-2.034269714E-1,-4.200415192E0,8.276888123E0
2.675721042E0,1.047970734E0,-4.151766357E0,7.858358459E0
2.685747042E0,1.605860596E0,-3.694317627E0,8.562494202E0
2.695773042E0,1.561852112E0,-3.655697937E0,9.112899628E0
2.705799042E0,1.614093475E0,-3.470383301E0,9.328750763E0
2.715824042E0,1.062041473E0,-3.704646149E0,9.454938354E0
2.725850042E0,5.969586182E-1,-4.148024139E0,8.807684326E0
2.735876042E0,8.928932190E-1,-3.703149261E0,8.616831207E0
2.745901042E0,1.092278595E0,-3.457061005E0,8.853638763E0
2.755927042E0,1.485959930E0,-3.623814240E0,9.211694183E0
2.765953042E0,1.466500397E0,-3.380570068E0,9.982591095E0
2.775979042E0,8.321195984E-1,-3.317850494E0,8.872499542E0
2.786004042E0,-7.125183105E-2,-2.997965698E0,8.888216858E0
2.796030042E0,-1.279838562E-1,-2.988834686E0,8.755143585E0
2.806056042E0,-6.990463257E-2,-3.661236420E0,7.996670837E0
2.816081042E0,-1.197509766E-2,-4.078568573E0,8.340805206E0
2.826107042E0,-8.652008057E-2,-4.958588562E0,8.315358124E0
2.836133042E0,-4.430786133E-2,-5.584586792E0,8.772357788E0
