"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.839892042E0,-5.377739668E-2,3.289980292E-1,-2.194306701E-1
2.849918042E0,-8.870875090E-2,2.570300996E-1,-2.579914033E-1
2.859943042E0,-1.820035726E-1,-5.141619593E-2,-4.778106511E-1
2.869969042E0,-3.046980500E-1,-5.278580785E-1,-6.446942091E-1
2.879995042E0,-1.895333529E-1,-8.094784617E-1,-5.722689629E-1
2.890020042E0,2.815238200E-2,-1.082588792E0,-1.540706307E-1
2.900046042E0,5.182315409E-2,-1.309339881E0,3.173515797E-1
2.910072042E0,8.748652413E-3,-1.417842150E0,4.278850257E-1
2.920098042E0,-2.341229096E-2,-1.123055696E0,1.999150813E-1
2.930123042E0,-1.065948009E-1,-8.204273582E-1,-1.293195486E-1
2.940149042E0,-1.444490850E-1,-5.324997902E-1,-5.037630200E-1
2.950175042E0,-1.693187505E-1,-3.992866278E-1,-6.096774340E-1
2.960200042E0,-2.031220794E-1,-4.923081994E-1,-5.150499940E-1
2.970226042E0,-1.824325174E-1,-3.945344985E-1,-4.526295066E-1
2.980252042E0,-1.209765226E-1,-2.627703249E-1,-3.404800892E-1
2.990277042E0,-6.388021260E-2,-2.091648877E-1,-1.867341995E-1
3.000303042E0,-3.349974006E-2,-1.349234879E-1,-4.754483700E-2
3.010329042E0,-2.967130858E-3,-4.112163186E-2,4.161499441E-3
3.020355042E0,2.899530157E-2,-3.305804357E-2,-3.298363835E-2
3.030380042E0,4.411247000E-2,-2.840219531E-3,-4.310311750E-2
3.040406042E0,1.986745186E-2,3.147853166E-2,-4.015615955E-2
3.050432042E0,-1.528866962E-2,1.805058680E-3,-2.292630635E-2
3.060457042E0,-2.823147550E-2,-2.218575776E-2,-4.524706304E-2
3.070483042E0,-1.124902908E-2,-8.078595251E-2,-8.185913414E-2
3.080509042E0,6.558702793E-3,-1.461457163E-1,-1.107309014E-1
3.090535042E0,1.159394160E-2,-1.235032529E-1,-1.031379625E-1
3.100560042E0,1.405411493E-2,-7.134643942E-2,-5.334450305E-2
3.110586042E0,9.585863911E-3,-2.235679515E-2,-1.640646160E-2
3.120612042E0,3.476301674E-3,3.673085943E-3,-2.340914682E-3
3.130637042E0,2.587338444E-3,1.527035236E-2,-7.608647458E-3
3.140663042E0,1.339020673E-3,1.142245438E-2,-2.032276429E-2
3.150689042E0,4.850131925E-3,5.402113311E-3,-2.748879790E-2
3.160715042E0,3.782046027E-3,-8.467101492E-3,-1.758556440E-2
3.170740042E0,1.361498609E-3,-2.125799656E-2,-2.040426014E-3
3.180766042E0,-4.470738117E-3,-2.028362826E-2,1.106982399E-2
3.190792042E0,-1.607892476E-2,-3.600426763E-2,7.954724133E-3
3.200817042E0,-1.937603578E-2,-5.274114013E-2,-9.664896876E-3
3.210843042E0,-6.214160472E-3,-6.041264534E-2,-3.039840609E-2
3.220869042E0,4.636758566E-2,-9.335468709E-2,-4.926034436E-2
3.230894042E0,5.015672743E-2,-1.325340420E-1,-1.020383388E-1
3.240920042E0,-1.360088401E-2,-8.110228926E-2,-1.769675612E-1
3.250946042E0,-5.542476103E-2,-3.983181715E-2,-2.432030439E-1
3.260972042E0,-7.688979805E-2,-4.887948930E-2,-3.521780670E-1
3.270997042E0,-9.624192119E-2,-4.643124342E-2,-4.927580655E-1
3.281023042E0,-1.197135523E-1,-9.789517522E-2,-5.568239093E-1
3.291049042E0,-1.076222658E-1,-1.245880425E-1,-6.059560776E-1
3.301074042E0,-6.413437426E-2,-1.673071980E-1,-6.851318479E-1
3.311100042E0,-2.139729820E-2,-1.469609141E-1,-7.951896787E-1
3.321126042E0,-3.340156376E-2,-1.234645993E-1,-9.042155147E-1
3.331152042E0,-5.326661468E-2,-1.775041372E-1,-9.999063015E-1
3.341177042E0,-2.985679358E-2,-2.264097482E-1,-1.059601068E0
3.351203042E0,7.522488013E-4,-1.905753165E-1,-1.022527218E0
3.361229042E0,6.557897478E-2,-1.559666395E-1,-9.633590579E-1
3.371254042E0,1.555403024E-1,-1.247541234E-1,-9.675990939E-1
3.381280042E0,1.744372845E-1,-1.066733897E-1,-9.524151087E-1
3.391306042E0,1.575901359E-1,-1.076702103E-1,-8.908135295E-1
