"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.783465684E2,-1.670526123E-1,-7.498806152E0,6.026018829E0
1.783565944E2,-5.566923523E-1,-6.236181793E0,6.342610474E0
1.783666204E2,-4.328997803E-1,-5.501509552E0,6.385870514E0
1.783766464E2,-1.541793823E-1,-5.394631805E0,6.210435333E0
1.783866724E2,1.615141296E-1,-5.836961975E0,5.919889526E0
1.783966984E2,1.375639343E-1,-6.580166473E0,5.632936249E0
1.784067244E2,-2.685415649E-1,-7.312443695E0,5.627697144E0
1.784167504E2,-7.512876892E-1,-7.795788574E0,5.845045166E0
1.784267754E2,-7.387138367E-1,-7.941286011E0,6.088139648E0
1.784368014E2,-1.387614441E-1,-8.148006134E0,6.885381775E0
1.784468274E2,5.049000549E-1,-8.590036926E0,7.691605225E0
1.784568534E2,8.595126343E-1,-8.926836548E0,7.598798218E0
1.784668794E2,4.878355408E-1,-9.060059509E0,7.355254669E0
1.784769054E2,-9.325607300E-2,-9.282496948E0,6.913523254E0
1.784869314E2,-5.222639465E-1,-9.657916260E0,6.737938385E0
1.784969574E2,-8.346643066E-1,-1.005504044E1,6.948700104E0
1.785069834E2,-6.933581543E-1,-1.028316605E1,7.207362213E0
1.785170094E2,-3.257226562E-1,-1.007584717E1,7.229815521E0
1.785270354E2,-1.056802368E-1,-9.237440643E0,6.817872162E0
1.785370614E2,4.998106384E-1,-8.233777771E0,6.302344208E0
1.785470874E2,8.599617004E-1,-7.561076660E0,6.534511414E0
1.785571134E2,1.285826111E0,-7.298522644E0,6.859635315E0
1.785671394E2,1.568588104E0,-7.163653107E0,7.261998596E0
1.785771654E2,1.991159363E0,-7.025191040E0,7.261100464E0
1.785871914E2,2.328707428E0,-6.623127136E0,7.282206573E0
1.785972174E2,2.988684998E0,-6.090235291E0,7.242539063E0
1.786072434E2,3.916605377E0,-5.494474182E0,6.657854919E0
1.786172694E2,4.563110962E0,-5.182223511E0,6.386169891E0
1.786272954E2,4.760550385E0,-5.318440247E0,6.306834869E0
1.786373214E2,4.615951080E0,-5.669460297E0,6.207890625E0
1.786473474E2,3.939208374E0,-5.994584198E0,5.919141083E0
1.786573724E2,2.837349701E0,-6.338269501E0,5.031037903E0
1.786673984E2,1.974394226E0,-6.708749084E0,4.188440094E0
1.786774244E2,1.820214844E0,-6.480623474E0,3.897744598E0
1.786874504E2,2.073039093E0,-5.637576599E0,3.901486816E0
1.786974764E2,1.993704071E0,-5.193599854E0,3.629352722E0
