"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.999639000E0,-2.774046361E-1,-4.657104146E-3,-3.650417626E-1
2.009665000E0,-2.781314254E-1,-2.699037269E-2,-3.597806692E-1
2.019691000E0,-2.862188816E-1,6.206079572E-2,-4.184614122E-1
2.029717000E0,-2.594213486E-1,1.779639572E-1,-5.081433654E-1
2.039744000E0,-2.073462605E-1,2.500124276E-1,-5.920359492E-1
2.049770000E0,-1.620368361E-1,2.888913751E-1,-6.565601230E-1
2.059796000E0,-1.371805072E-1,2.539785206E-1,-7.101567984E-1
2.069823000E0,-1.329820454E-1,2.024593949E-1,-7.445582151E-1
2.079849000E0,-1.322524995E-1,2.073759735E-1,-7.223684788E-1
2.089875000E0,-1.370030493E-1,2.138402760E-1,-5.927609801E-1
2.099901000E0,-1.355568916E-1,1.452877223E-1,-4.078461230E-1
2.109928000E0,-1.445184350E-1,7.835529745E-2,-2.288832814E-1
2.119954000E0,-1.804821491E-1,3.144821525E-2,-8.459752053E-2
2.129980000E0,-2.548266649E-1,-9.724518284E-3,2.077497542E-2
2.140007000E0,-3.414720893E-1,-2.942072600E-2,4.798582569E-2
2.150033000E0,-3.962743580E-1,2.519724518E-2,-7.036149036E-3
2.160059000E0,-3.959252238E-1,8.580359817E-2,-9.368422627E-2
2.170085000E0,-3.641132414E-1,4.450596124E-2,-1.313591748E-1
2.180112000E0,-3.562800884E-1,-2.615472116E-2,-1.066892147E-1
2.190138000E0,-3.793513179E-1,-7.828369737E-2,-5.105498433E-2
2.200164000E0,-3.821983635E-1,-7.926160842E-2,-2.309994958E-2
2.210191000E0,-3.290110230E-1,-1.306249201E-1,-5.021346733E-3
2.220217000E0,-2.229948491E-1,-1.744786948E-1,1.324301399E-2
2.230243000E0,-8.994252235E-2,-1.465136409E-1,2.545307390E-2
2.240270000E0,3.507381305E-2,-2.861776948E-2,4.840840399E-2
2.250296000E0,1.142080501E-1,1.729134917E-1,9.697620571E-2
2.260322000E0,1.462166458E-1,3.824900985E-1,1.135692894E-1
2.270348000E0,1.509107351E-1,4.694668055E-1,5.018739030E-2
2.280375000E0,1.222984940E-1,4.113874733E-1,-5.064831674E-2
2.290401000E0,5.579749122E-2,2.726021409E-1,-1.012856588E-1
2.300427000E0,-1.045768335E-2,1.163215563E-1,-8.220919222E-2
2.310454375E0,-3.959479555E-2,-4.894835502E-2,1.518606581E-2
2.320480375E0,-2.930036001E-2,-2.218083739E-1,1.411685199E-1
2.330506375E0,9.227059782E-3,-3.745545149E-1,2.468294352E-1
